39.25,0.43,23.0,0.0,33.0,0.0
39.25,0.43,23.25,0.43,33.0,0.0
39.5,0.5,23.0,0.71,33.0,0.0
39.5,0.5,24.0,0.0,33.0,0.0
39.25,0.43,24.0,0.0,33.0,0.0
39.25,0.43,24.0,0.0,33.0,0.0
39.0,0.0,23.75,0.43,33.0,0.0
39.5,0.5,24.0,0.0,33.0,0.0
39.5,0.5,23.0,0.0,33.0,0.0
39.5,0.5,23.25,0.43,33.0,0.0
39.5,0.5,23.5,0.5,32.75,0.43
39.5,0.5,23.75,0.43,32.5,0.5
39.67,0.47,23.75,0.43,33.0,0.0
39.5,0.5,24.0,0.0,33.0,0.0
39.5,0.5,23.25,0.43,33.0,0.0
39.5,0.5,22.5,0.5,33.0,0.0
39.5,0.5,22.0,0.71,33.0,0.0
40.25,0.83,21.0,0.0,33.0,0.0
40.5,0.5,18.67,1.7,33.0,0.0
40.67,0.47,15.5,0.87,33.0,0.0
40.5,0.5,15.0,0.0,33.0,0.0
40.5,0.5,15.0,0.0,33.0,0.0
40.33,0.47,16.0,0.0,33.0,0.0
40.5,0.5,16.0,0.71,33.0,0.0
40.5,0.5,16.5,0.87,33.0,0.0
40.5,0.5,17.5,0.87,33.0,0.0
40.5,0.5,19.75,1.09,33.75,1.3
40.75,0.83,21.0,0.0,33.0,0.0
40.75,0.83,21.0,0.0,33.0,0.0
41.0,1.0,20.75,0.43,33.75,1.3
41.0,1.0,19.67,0.47,34.0,1.41
40.75,0.83,19.25,0.43,33.75,1.3
40.67,0.47,19.75,0.43,34.0,1.41
41.0,0.82,19.0,0.71,35.0,1.41
41.0,0.89,17.75,1.09,34.2,1.47
41.5,0.5,18.0,0.0,33.0,0.0
41.67,0.47,19.5,0.5,33.75,1.3
41.25,0.83,20.25,0.43,34.25,1.3
41.0,0.82,20.33,0.47,33.75,1.3
41.5,0.5,21.0,0.0,33.75,1.3
